Datetime,Open,High,Low,Close,Adj Close,Volume,EMA,EMASignal,VSignal,PriceSignal,TotSignal
2022-02-08 21:00:00,44188.4140625,44312.44921875,43987.4375,44246.29296875,44246.29296875,369391616,,3,1,0,0
2022-02-08 22:00:00,44248.59765625,44251.84765625,44002.06640625,44079.90234375,44079.90234375,16238592,,3,0,0,0
2022-02-08 23:00:00,44079.828125,44241.19140625,44063.2421875,44118.359375,44118.359375,0,,3,0,0,0
2022-02-09 00:00:00,44083.28515625,44264.0546875,44030.72265625,44230.625,44230.625,0,,3,1,0,0
2022-02-09 01:00:00,44228.125,44261.05859375,43917.82421875,43917.82421875,43917.82421875,28422144,,3,1,0,0
2022-02-09 02:00:00,43914.1953125,43925.87890625,43282.5859375,43355.96875,43355.96875,220151808,,3,1,0,0
2022-02-09 03:00:00,43357.90234375,43496.46484375,43346.07421875,43375.484375,43375.484375,0,,3,1,0,0
2022-02-09 04:00:00,43381.265625,43564.1171875,43381.265625,43523.015625,43523.015625,0,,3,1,0,0
2022-02-09 05:00:00,43518.2421875,43680.9765625,43232.96875,43640.45703125,43640.45703125,0,,3,1,0,0
2022-02-09 06:00:00,43625.921875,43771.1484375,43603.640625,43730.0234375,43730.0234375,0,,3,1,0,0
2022-02-09 07:00:00,43736.26953125,43743.71484375,43489.48828125,43733.984375,43733.984375,0,40426.73666015625,1,1,0,0
2022-02-09 08:00:00,43734.87109375,43877.5625,43318.64453125,43480.22265625,43480.22265625,0,40457.11960539102,1,1,0,0
2022-02-09 09:00:00,43476.9765625,43595.18359375,43423.31640625,43438.390625,43438.390625,0,40486.78399364583,1,1,0,0
2022-02-09 10:00:00,43435.296875,43686.41796875,43425.3359375,43553.4609375,43553.4609375,249013848064,40517.298192092145,1,1,0,0
2022-02-09 11:00:00,43559.41015625,43791.10546875,43499.81640625,43752.32421875,43752.32421875,68258398208,40549.48750579023,1,1,0,0
2022-02-09 12:00:00,43761.21875,44256.82421875,43735.81640625,44121.796875,44121.796875,11432067072,40585.032872648044,1,0,0,0
2022-02-09 13:00:00,44123.99609375,44371.84765625,44023.25,44023.25,44023.25,0,40619.243988343085,1,0,0,0
2022-02-09 14:00:00,44035.36328125,44213.84375,43887.265625,44115.6484375,44115.6484375,66609152,40654.034082364546,1,1,0,0
2022-02-09 15:00:00,44127.5859375,44173.9140625,43871.62890625,43900.93359375,43900.93359375,0,40686.34154018928,1,1,0,0
2022-02-09 16:00:00,43906.703125,44100.734375,43786.77734375,44084.46484375,44084.46484375,0,40720.15371236401,1,1,0,0
2022-02-09 17:00:00,44091.96484375,44230.53125,44060.48828125,44060.48828125,44060.48828125,0,40753.39087225342,1,1,0,0
2022-02-09 18:00:00,44068.8515625,44119.9453125,43984.9296875,44118.31640625,44118.31640625,0,40786.872718362836,1,1,0,0
2022-02-09 19:00:00,44132.703125,44639.87109375,44132.703125,44518.0234375,44518.0234375,585889792,40823.9985961652,1,1,0,0
2022-02-09 20:00:00,44518.11328125,44727.80078125,44445.6484375,44715.96875,44715.96875,0,40862.72466734763,1,1,0,0
2022-02-09 21:00:00,44718.7890625,44721.6328125,44493.63671875,44493.63671875,44493.63671875,0,40898.85314547104,1,1,0,0
2022-02-09 22:00:00,44499.2421875,44574.6328125,44347.9921875,44574.6328125,44574.6328125,52113408,40935.42806753103,1,1,0,0
2022-02-09 23:00:00,44570.8671875,44570.8671875,44319.515625,44319.515625,44319.515625,0,40969.10058054067,1,1,0,0
2022-02-10 00:00:00,44347.80078125,44389.3203125,44128.84375,44138.3125,44138.3125,0,41000.63502750046,1,1,0,0
2022-02-10 01:00:00,44137.30859375,44252.390625,44137.30859375,44244.9921875,44244.9921875,0,41032.91718829647,1,1,0,0
2022-02-10 02:00:00,44248.30859375,44330.91796875,44027.07421875,44027.07421875,44027.07421875,0,41062.70979556467,1,1,0,0
2022-02-10 03:00:00,44015.36328125,44015.36328125,43740.0703125,43819.7734375,43819.7734375,226824192,41090.14326463865,1,1,0,0
2022-02-10 04:00:00,43820.16015625,43926.13671875,43704.62890625,43810.52734375,43810.52734375,158101504,41117.21176293827,1,1,0,0
2022-02-10 05:00:00,43816.7421875,43902.1171875,43771.86328125,43896.7578125,43896.7578125,0,41144.86893756077,1,0,0,0
2022-02-10 06:00:00,43900.1875,43983.36328125,43824.921875,43976.47265625,43976.47265625,0,41173.044098940765,1,1,0,0
2022-02-10 07:00:00,43952.74609375,44082.6796875,43909.78125,44079.25,44079.25,0,41201.9615705931,1,1,0,0
2022-02-10 08:00:00,44082.80859375,44237.40234375,44073.09765625,44236.98828125,44236.98828125,0,41232.1608413459,1,1,0,0
2022-02-10 09:00:00,44231.33203125,44400.14453125,44142.8515625,44376.6875,44376.6875,68618240,41263.44966382007,1,1,0,0
2022-02-10 10:00:00,44414.53515625,44686.81640625,44396.359375,44594.93359375,44594.93359375,389939200,41296.59875765022,1,1,0,0
2022-02-10 11:00:00,44595.97265625,45101.171875,44594.3984375,44848.828125,44848.828125,742383616,41331.9443234945,1,1,0,0
2022-02-10 12:00:00,44850.02734375,44935.9765625,44656.9921875,44821.2421875,44821.2421875,37259264,41366.663705225896,1,1,0,0
