Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-12-06 23:00:00,43766.85,43812.19,43600.78,43762.69,1258.44306,2023-12-06 23:59:59.999000072,55006572.2527162,44509,506.18467,22126825.7477837,0
2023-12-07 00:00:00,43762.69,43901.0,43710.0,43822.23,840.57654,2023-12-07 00:59:59.999000072,36827264.6089603,37693,384.83366,16861165.162953,0
2023-12-07 01:00:00,43822.22,43943.54,43822.22,43926.98,799.97691,2023-12-07 01:59:59.999000072,35118494.3172257,34108,381.87586,16764237.288003,0
2023-12-07 02:00:00,43926.98,43994.79,43909.26,43970.99,598.91398,2023-12-07 02:59:59.999000072,26318033.1685356,27268,275.86334,12122004.0778685,0
2023-12-07 03:00:00,43970.99,43999.84,43915.12,43926.84,605.82922,2023-12-07 03:59:59.999000072,26626292.6539719,27875,284.00052,12482607.0144166,0
2023-12-07 04:00:00,43926.85,44045.96,43881.76,43964.81,1149.38446,2023-12-07 04:59:59.999000072,50553835.947772,39360,548.72893,24133866.5751452,0
2023-12-07 05:00:00,43964.82,44047.33,43875.11,44007.25,936.99302,2023-12-07 05:59:59.999000072,41218692.8000519,36803,471.17616,20729922.7223738,0
2023-12-07 06:00:00,44007.24,44030.01,43838.19,43869.66,987.51608,2023-12-07 06:59:59.999000072,43383791.3476053,41193,460.87501,20246463.4421934,0
2023-12-07 07:00:00,43869.65,43945.0,43866.54,43884.01,1012.93272,2023-12-07 07:59:59.999000072,44483697.4838885,33291,437.25269,19202224.1067714,0
2023-12-07 08:00:00,43884.01,43896.48,43536.59,43585.6,3773.61269,2023-12-07 08:59:59.999000072,164999047.9610187,99331,1545.20583,67567138.9797348,0
2023-12-07 10:00:00,43351.07,43428.0,43061.1,43134.24,2455.37637,2023-12-07 10:59:59.999000072,106090504.3042004,74667,1121.64511,48463081.9777034,0
2023-12-07 11:00:00,43134.23,43379.99,43111.1,43188.03,1612.33591,2023-12-07 11:59:59.999000072,69716044.0973031,51926,861.34044,37241847.7606937,0
2023-12-07 12:00:00,43188.03,43409.77,42955.0,43408.0,2768.15945,2023-12-07 12:59:59.999000072,119403300.7409687,77504,1363.54299,58842008.0304349,0
2023-12-07 13:00:00,43408.0,43507.0,43190.0,43294.63,1894.74028,2023-12-07 13:59:59.999000072,82071278.9722157,58163,911.14308,39474533.557946,0
2023-12-07 14:00:00,43294.63,43526.0,43245.89,43485.8,1395.44652,2023-12-07 14:59:59.999000072,60543292.089843,50224,774.07927,33585121.139368,0
2023-12-07 15:00:00,43485.79,43925.0,43429.23,43659.99,3575.65122,2023-12-07 15:59:59.999000072,156242217.7380555,108984,1958.04415,85556971.8797694,0
2023-12-07 16:00:00,43659.99,43755.26,43491.1,43687.1,2233.54565,2023-12-07 16:59:59.999000072,97466379.8826741,68261,1149.84168,50182343.6649439,0
2023-12-07 17:00:00,43687.1,43699.69,43201.01,43419.02,3799.75375,2023-12-07 17:59:59.999000072,164972057.7228616,92736,1596.88024,69330352.9499066,0
2023-12-07 18:00:00,43419.03,43457.65,43254.08,43309.22,1853.27871,2023-12-07 18:59:59.999000072,80355171.6599959,59706,882.57615,38265629.3405031,0
2023-12-07 19:00:00,43309.23,43333.32,43058.42,43203.58,2272.8343,2023-12-07 19:59:59.999000072,98190037.4000267,61382,1103.42431,47667021.6029595,0
2023-12-07 20:00:00,43203.57,43334.65,43079.98,43235.74,2100.58089,2023-12-07 20:59:59.999000072,90776347.5595226,48255,1081.39486,46734727.9750671,0
2023-12-07 21:00:00,43235.74,43456.06,43221.1,43374.51,1690.53572,2023-12-07 21:59:59.999000072,73254862.8859135,50470,917.45652,39756042.0225558,0
2023-12-07 22:00:00,43374.51,43413.21,43135.72,43136.0,906.16059,2023-12-07 22:59:59.999000072,39220126.9074279,33007,382.01736,16539238.0194718,0
